timestamp,distance_to_obstacle_m
0.380893,1.7780
0.480955,0.3100
0.580826,0.3100
0.680993,0.3100
0.780937,0.3100
0.880690,0.3080
0.980710,0.3130
1.080763,0.3130
1.180628,0.3090
1.280752,0.3170
1.380718,1.0680
1.480745,1.0680
1.580754,0.3080
1.680788,0.3290
1.780836,0.3080
1.880594,0.3080
1.980915,0.3080
2.080803,0.3080
2.180737,0.3240
2.280625,0.3260
2.380743,0.3080
2.480757,0.3080
2.580747,0.4730
2.680732,0.3080
2.780741,0.3750
2.880719,0.3750
2.980741,1.1600
3.080782,0.3010
3.180748,0.3080
3.280731,0.3580
3.380794,0.3080
3.480795,0.3080
3.580638,0.3090
3.680734,0.3080
3.780732,2.3480
3.880783,0.3170
3.980774,0.3170
4.080770,0.3170
4.180768,1.9740
4.280766,0.3080
4.380762,0.3080
4.480769,0.3080
4.580747,0.3080
4.680842,0.3080
4.781023,0.3080
4.880806,1.0680
4.980674,1.0680
5.080819,0.3080
5.180764,0.3080
5.280770,0.5860
5.380811,0.5860
5.480689,0.5860
5.580761,0.5860
5.680743,0.3380
5.780799,0.3090
5.880764,0.3090
5.980798,0.3080
6.080796,0.3770
6.180779,0.3200
6.280792,1.0480
6.380849,0.3090
6.481201,0.3090
6.580828,1.9240
6.680882,0.3080
6.780802,0.3080
6.880938,0.3030
6.980781,0.3030
7.080807,0.3140
7.180814,0.3140
7.280776,2.8640
7.380676,0.3130
7.480726,0.3130
7.580731,0.3100
7.680849,0.3080
7.780782,0.3080
7.880752,1.0280
7.980583,1.0280
8.080627,0.3080
8.180807,0.3080
8.280776,0.4370
8.380777,0.4370
8.480809,0.8100
8.580838,1.7820
8.680803,0.3080
8.780811,0.3080
8.880831,0.3080
8.980804,0.3080
9.080773,1.2480
9.180784,0.3660
9.280677,0.3080
9.380763,0.3080
9.480800,0.3080
9.580736,1.0280
9.680735,0.3120
9.780754,0.4720
9.880748,0.4720
9.980928,0.3080
10.080758,0.3150
10.180772,0.3210
10.280780,0.3210
10.380524,0.3080
10.480753,0.3080
10.580752,1.8000
10.680909,0.3080
10.780917,0.3080
10.880932,0.3080
10.980762,1.0520
11.080565,0.3080
11.180776,0.3140
11.280737,0.6600
11.380679,0.6600
11.480738,0.3080
11.580731,0.3180
11.680748,nan
11.780731,0.3080
11.880716,0.3080
11.980743,0.3210
12.080665,0.3080
12.180670,nan
12.280582,0.3310
12.380755,0.3310
12.480748,0.3080
12.580740,0.3080
12.681078,0.3090
12.780697,0.3050
12.880681,0.3050
12.980707,0.3090
13.080726,1.0280
13.180718,0.3110
13.280671,0.3130
13.380733,0.3130
13.480698,1.7380
13.580756,0.3150
13.680749,0.3150
13.780808,0.3080
13.880747,0.3490
13.980558,0.3140
14.080960,0.3070
14.180699,0.3080
14.281842,0.3080
14.382046,0.3390
14.480676,0.3820
14.580644,0.3080
14.680871,0.3080
14.781057,0.3080
14.880753,0.3080
14.980996,0.3080
15.081175,0.4560
15.181514,0.3930
15.281750,0.3080
15.381918,0.3080
15.481799,1.7720
15.581645,0.3080
15.681900,0.3080
15.781856,0.3080
15.880924,0.3080
15.980831,0.3080
16.081593,0.4410
16.180829,0.3290
16.280724,0.3290
16.381169,0.3110
16.480645,0.3080
16.580831,1.0700
16.680744,1.0700
16.780753,0.3080
16.880828,0.3080
16.980819,0.3080
17.080742,0.3150
