timestamp,ttc_value_s,risk_level
0.880690,24.2177,SAFE
0.980710,24.3177,SAFE
1.080763,24.4177,SAFE
1.180628,24.5177,SAFE
1.280752,24.6177,SAFE
1.380718,24.7177,SAFE
1.480745,24.8177,SAFE
1.580754,24.9177,SAFE
1.680788,25.0177,SAFE
1.780836,25.1177,SAFE
1.880594,25.2177,SAFE
1.980915,25.3177,SAFE
2.080803,25.4177,SAFE
2.180737,25.5177,SAFE
2.280625,25.6177,SAFE
2.380743,25.7177,SAFE
2.480757,25.8177,SAFE
2.580747,25.9177,SAFE
2.680732,26.0177,SAFE
2.780741,26.1176,SAFE
2.880719,26.2176,SAFE
2.980741,26.3176,SAFE
3.080782,26.4176,SAFE
3.180748,26.5176,SAFE
3.280731,26.6176,SAFE
3.380794,26.7176,SAFE
3.480795,26.8176,SAFE
3.580638,26.9176,SAFE
3.680734,27.0176,SAFE
3.780732,27.1176,SAFE
3.880783,27.2176,SAFE
3.980774,27.3176,SAFE
4.080770,27.4176,SAFE
4.180768,27.5176,SAFE
4.280766,27.6176,SAFE
4.380762,27.7176,SAFE
4.480769,27.8176,SAFE
4.580747,27.9176,SAFE
4.680842,28.0176,SAFE
4.781023,28.1176,SAFE
4.880806,28.2176,SAFE
4.980674,28.3176,SAFE
5.080819,28.4175,SAFE
5.180764,28.5175,SAFE
5.280770,28.6175,SAFE
5.380811,28.7175,SAFE
5.480689,28.8175,SAFE
5.580761,28.9175,SAFE
5.680743,29.0175,SAFE
5.780799,29.1175,SAFE
5.880764,29.2175,SAFE
5.980798,29.3175,SAFE
6.080796,29.4175,SAFE
6.180779,29.5175,SAFE
6.280792,29.6175,SAFE
6.380849,29.7175,SAFE
6.481201,29.8175,SAFE
6.580828,29.9175,SAFE
6.680882,30.0175,SAFE
6.780802,30.1175,SAFE
6.880938,30.2175,SAFE
6.980781,30.2175,SAFE
7.080807,30.2175,SAFE
7.180814,30.2175,SAFE
7.280776,30.2175,SAFE
7.380676,30.2175,SAFE
7.480726,30.2175,SAFE
7.580731,30.2175,SAFE
7.680849,30.2175,SAFE
7.780782,30.2175,SAFE
7.880752,30.2175,SAFE
7.980583,30.2175,SAFE
8.080627,30.4175,SAFE
8.180807,30.5175,SAFE
8.280776,30.6175,SAFE
8.380777,30.7175,SAFE
8.480809,30.8175,SAFE
8.580838,30.9175,SAFE
8.680803,31.0175,SAFE
8.780811,31.1174,SAFE
8.880831,31.2174,SAFE
8.980804,31.3174,SAFE
9.080773,31.4174,SAFE
9.180784,31.5174,SAFE
9.280677,31.6174,SAFE
9.380763,31.7174,SAFE
9.480800,31.8174,SAFE
9.580736,31.9174,SAFE
9.680735,32.0174,SAFE
9.780754,32.1174,SAFE
9.880748,32.2174,SAFE
9.980928,32.3174,SAFE
10.080758,32.4174,SAFE
10.180772,32.5174,SAFE
10.280780,32.6174,SAFE
10.380524,32.7174,SAFE
10.480753,32.8174,SAFE
10.580752,32.9174,SAFE
10.680909,33.0174,SAFE
10.780917,33.1174,SAFE
10.880932,33.2174,SAFE
10.980762,33.3174,SAFE
11.080565,33.4174,SAFE
11.180776,33.5174,SAFE
11.280737,33.6174,SAFE
11.380679,33.7174,SAFE
11.480738,33.8174,SAFE
11.580731,33.9174,SAFE
11.680748,34.0174,SAFE
11.780731,34.1174,SAFE
11.880716,34.2174,SAFE
11.980743,34.3173,SAFE
12.080665,34.4173,SAFE
12.180670,34.5173,SAFE
12.280582,34.6173,SAFE
12.380755,34.7173,SAFE
12.480748,34.8173,SAFE
12.580740,34.9173,SAFE
12.681078,35.0173,SAFE
12.780697,35.1173,SAFE
12.880681,35.2173,SAFE
12.980707,35.3173,SAFE
13.080726,35.4173,SAFE
13.180718,35.5173,SAFE
13.280671,35.6173,SAFE
13.380733,35.7173,SAFE
13.480698,35.8173,SAFE
13.580756,35.9173,SAFE
13.680749,36.0173,SAFE
13.780808,36.1173,SAFE
13.880747,36.2173,SAFE
13.980558,36.3173,SAFE
14.080960,36.4173,SAFE
14.180699,36.5173,SAFE
14.281842,36.6173,SAFE
