timestamp,distance_to_obstacle_m
1.280046,0.7740
1.380052,1.2060
1.480087,1.2060
1.580088,0.4180
1.680096,1.1960
1.779856,0.9040
1.880240,1.3100
1.980106,0.3300
2.080081,0.3300
2.179974,1.1880
2.280247,1.1480
2.380131,1.2100
2.480089,1.2140
2.580142,1.2140
2.680142,1.2100
2.780166,1.3220
2.880123,1.3220
2.980258,1.7500
3.079971,1.7500
3.180222,1.2000
3.280289,0.4100
3.379945,0.4100
3.481189,2.7040
3.580019,2.7040
3.680061,0.3220
3.780068,1.1980
3.880052,1.1920
3.980064,0.3210
4.080009,0.3210
4.180030,1.2020
4.280018,1.0860
4.379995,0.3060
4.479995,1.2000
4.580013,1.2000
4.680046,0.4590
4.780062,1.2000
4.880027,1.2000
4.980072,1.2000
5.080020,1.2000
5.180020,1.2000
5.280021,0.7520
5.380179,0.4330
5.480081,0.3270
5.580081,0.3270
5.680043,0.4240
5.780005,nan
5.880009,1.1960
5.980039,1.2060
6.080053,1.2060
6.180050,1.1960
6.280098,0.4720
6.380098,0.8100
6.480070,0.4800
6.580112,0.4800
6.680092,0.7420
6.779964,0.3480
6.880041,1.2060
6.980067,1.2060
7.080022,1.1960
7.180296,0.7860
7.280116,0.7740
7.380024,0.3570
7.480006,0.4180
7.580044,0.4180
7.680106,1.1960
7.780054,1.2080
7.880110,1.2080
7.980061,0.7920
8.080050,0.7920
8.180086,1.1940
8.280119,1.1480
8.380011,0.5400
8.480042,1.1920
8.580072,1.1920
8.680040,0.6180
8.779931,0.6180
8.879902,0.7280
8.980210,1.2000
9.080051,1.2000
9.180113,0.4300
9.280085,1.2060
9.380129,0.6040
9.480145,0.6040
9.580348,0.3600
9.680069,1.1920
9.780052,1.2020
9.880012,0.7920
9.979998,0.7920
10.079916,1.2020
10.179920,0.5030
10.279974,0.5030
10.379957,0.6040
10.480258,0.4680
10.580107,0.4680
10.679923,1.1860
10.779892,1.1860
10.879933,1.2000
10.979947,1.1940
11.081363,1.1940
11.180230,1.2060
11.280360,0.7680
11.380348,0.4390
11.480145,0.4390
11.579897,0.6040
11.679891,0.4230
11.780095,0.4360
11.880783,0.4360
11.980639,1.2060
12.081109,0.4470
12.180048,0.5090
12.280032,0.5680
12.380068,1.1940
12.480335,1.1940
12.580052,1.2020
12.680067,0.3340
12.780058,0.6120
12.880059,1.0080
12.980047,1.0080
13.080041,0.3210
13.179981,0.7960
13.280091,0.4520
13.380090,1.1960
13.480052,1.1960
13.580278,1.1960
13.680005,1.1900
13.780048,1.4480
13.880030,0.3100
13.980015,0.3100
14.079986,1.1900
14.180222,1.0560
14.280028,1.2120
14.379998,0.4890
14.480037,0.3470
14.580059,0.3470
14.680004,0.6260
14.779995,1.2000
14.880009,0.9660
14.980008,0.9660
15.079997,1.2100
15.179961,0.3100
15.279948,0.6280
15.380020,0.6280
15.480036,1.2100
15.580029,0.9940
15.680332,1.1960
15.780025,0.3460
15.880484,0.6280
15.979967,0.6280
16.079942,1.2300
16.180833,0.4730
16.280248,1.2000
16.379804,0.3210
16.480025,0.3210
16.580111,0.3360
16.681166,1.2080
16.780469,1.2040
16.881007,1.2040
16.980358,0.7700
17.080122,0.7700
17.181314,1.2040
17.280147,1.2560
17.380094,1.1960
17.480263,1.1960
17.580081,1.2100
17.680128,0.7700
17.780108,0.7700
17.880084,1.2080
17.980088,1.2080
18.080104,1.0160
18.180926,1.0160
18.280226,0.4070
18.380226,1.3140
18.480018,1.3140
18.580014,1.3460
18.680100,1.2000
18.780026,0.4120
18.880058,0.4730
18.979998,0.4730
19.080080,1.1920
19.180026,0.5260
19.280023,0.5520
19.380053,0.5110
19.480056,0.5110
19.580019,0.3240
19.680021,1.1920
19.779892,1.2920
