timestamp,ttc_value_s,risk_level
0.180185,inf,SAFE
0.280098,inf,SAFE
0.379999,inf,SAFE
0.480070,inf,SAFE
0.580125,inf,SAFE
0.681194,inf,SAFE
0.780174,inf,SAFE
0.880827,inf,SAFE
0.980102,inf,SAFE
1.080279,inf,SAFE
1.180287,inf,SAFE
1.280046,inf,SAFE
1.380052,inf,SAFE
1.480087,inf,SAFE
1.580088,inf,SAFE
1.680096,inf,SAFE
1.779856,inf,SAFE
1.880240,inf,SAFE
1.980106,inf,SAFE
2.080081,inf,SAFE
2.179974,inf,SAFE
2.280247,inf,SAFE
2.380131,inf,SAFE
2.480089,inf,SAFE
2.580142,inf,SAFE
2.680142,inf,SAFE
2.780166,inf,SAFE
2.880123,inf,SAFE
2.980258,inf,SAFE
3.079971,7.6479,SAFE
3.180222,7.7477,SAFE
3.280289,7.8475,SAFE
3.379945,7.9473,SAFE
3.481189,8.0472,SAFE
3.580019,8.1470,SAFE
3.680061,8.2469,SAFE
3.780068,8.3467,SAFE
3.880052,8.4466,SAFE
3.980064,8.5464,SAFE
4.080009,8.6463,SAFE
4.180030,8.7461,SAFE
4.280018,8.8460,SAFE
4.379995,8.9459,SAFE
4.479995,9.0457,SAFE
4.580013,9.1456,SAFE
4.680046,9.2455,SAFE
4.780062,9.3454,SAFE
4.880027,9.4453,SAFE
4.980072,9.5451,SAFE
5.080020,9.6450,SAFE
5.180020,9.7449,SAFE
5.280021,9.8448,SAFE
5.380179,9.9447,SAFE
5.480081,10.0446,SAFE
5.580081,10.1445,SAFE
5.680043,10.2444,SAFE
5.780005,10.3443,SAFE
5.880009,10.4442,SAFE
5.980039,10.5441,SAFE
6.080053,10.6440,SAFE
6.180050,10.7439,SAFE
6.280098,10.8438,SAFE
6.380098,10.9437,SAFE
6.480070,10.9437,SAFE
6.580112,10.9437,SAFE
6.680092,10.9437,SAFE
6.779964,10.9437,SAFE
6.880041,10.9437,SAFE
6.980067,10.9437,SAFE
7.080022,10.9437,SAFE
7.180296,10.9437,SAFE
7.280116,10.9437,SAFE
7.380024,10.9437,SAFE
7.480006,10.9437,SAFE
7.580044,10.9437,SAFE
7.680106,10.9437,SAFE
7.780054,10.9437,SAFE
7.880110,10.9437,SAFE
7.980061,10.9437,SAFE
8.080050,10.9437,SAFE
8.180086,10.9437,SAFE
8.280119,10.9437,SAFE
8.380011,10.9437,SAFE
8.480042,10.9437,SAFE
8.580072,10.9437,SAFE
8.680040,10.9437,SAFE
8.779931,10.9437,SAFE
8.879902,10.0463,SAFE
8.980210,9.4619,SAFE
9.080051,9.2236,SAFE
9.180113,9.0150,SAFE
9.280085,8.8323,SAFE
9.380129,8.6723,SAFE
9.480145,8.5325,SAFE
9.580348,8.4106,SAFE
9.680069,8.3047,SAFE
9.780052,8.2130,SAFE
9.880012,8.1342,SAFE
9.979998,8.0670,SAFE
10.079916,8.0103,SAFE
10.179920,7.9632,SAFE
10.279974,7.9248,SAFE
10.379957,7.8943,SAFE
10.480258,7.8711,SAFE
10.580107,7.8546,SAFE
10.679923,7.8442,SAFE
10.779892,7.8396,SAFE
10.879933,7.8282,SAFE
10.979947,7.8058,SAFE
11.081363,7.7902,SAFE
11.180230,7.7806,SAFE
11.280360,7.7767,SAFE
11.380348,7.7781,SAFE
11.480145,7.7843,SAFE
11.579897,7.7950,SAFE
