timestamp,fused_px,fused_py,fused_vx,fused_vy,fusion_variance
0.379999,-1.328200,-0.403400,0.000000,0.000000,0.007555
0.480070,-1.328200,-0.403400,0.000000,0.000000,0.007555
0.580125,-1.328200,-0.403400,0.000000,0.000000,0.007555
0.681194,-1.328200,-0.403400,0.000000,0.000000,0.007555
0.780174,-1.328200,-0.403400,0.000000,0.000000,0.007555
0.880827,-1.328200,-0.403400,0.000000,0.000000,0.007555
0.980102,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.080279,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.180287,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.280046,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.380052,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.480087,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.580088,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.680096,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.779856,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.880240,-1.328200,-0.403400,0.000000,0.000000,0.007555
1.980106,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.080081,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.179974,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.280247,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.380131,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.480089,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.580142,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.680142,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.780166,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.880123,-1.328200,-0.403400,0.000000,0.000000,0.007555
2.980258,-1.328200,-0.403400,0.000000,0.000000,0.007555
3.079971,-1.349700,-0.637500,-0.009000,-0.094000,0.007549
3.180222,-1.350600,-0.646900,-0.009000,-0.094000,0.007549
3.280289,-1.351500,-0.656300,-0.009000,-0.094000,0.007549
3.379945,-1.352300,-0.665700,-0.009000,-0.094000,0.007549
3.481189,-1.353200,-0.675200,-0.009000,-0.094000,0.007549
3.580019,-1.354100,-0.684600,-0.009000,-0.094000,0.007549
3.680061,-1.355000,-0.694000,-0.009000,-0.094000,0.007549
3.780068,-1.355800,-0.703400,-0.009000,-0.094000,0.007549
3.880052,-1.356700,-0.712900,-0.009000,-0.094000,0.007549
3.980064,-1.357600,-0.722300,-0.009000,-0.094000,0.007549
4.080009,-1.358400,-0.731700,-0.009000,-0.094000,0.007549
4.180030,-1.359300,-0.741100,-0.009000,-0.094000,0.007549
4.280018,-1.360200,-0.750600,-0.009000,-0.094000,0.007549
4.379995,-1.361000,-0.760000,-0.009000,-0.094000,0.007549
4.479995,-1.361900,-0.769400,-0.009000,-0.094000,0.007549
4.580013,-1.362800,-0.778800,-0.009000,-0.094000,0.007549
4.680046,-1.363600,-0.788300,-0.009000,-0.094000,0.007549
4.780062,-1.364500,-0.797700,-0.009000,-0.094000,0.007549
4.880027,-1.365400,-0.807100,-0.009000,-0.094000,0.007549
4.980072,-1.366200,-0.816500,-0.009000,-0.094000,0.007549
5.080020,-1.367100,-0.826000,-0.009000,-0.094000,0.007549
5.180020,-1.368000,-0.835400,-0.009000,-0.094000,0.007549
5.280021,-1.368800,-0.844800,-0.009000,-0.094000,0.007549
5.380179,-1.369700,-0.854200,-0.009000,-0.094000,0.007549
5.480081,-1.370600,-0.863700,-0.009000,-0.094000,0.007549
5.580081,-1.371400,-0.873100,-0.009000,-0.094000,0.007549
5.680043,-1.372300,-0.882500,-0.009000,-0.094000,0.007549
5.780005,-1.373200,-0.892000,-0.009000,-0.094000,0.007549
5.880009,-1.374000,-0.901400,-0.009000,-0.094000,0.007549
5.980039,-1.374900,-0.910800,-0.009000,-0.094000,0.007549
6.080053,-1.375800,-0.920200,-0.009000,-0.094000,0.007549
6.180050,-1.376600,-0.929700,-0.009000,-0.094000,0.007549
6.280098,-1.377500,-0.939100,-0.009000,-0.094000,0.007549
6.380098,-1.377500,-0.939100,-0.009000,-0.094000,0.007549
6.480070,-1.377500,-0.939100,-0.009000,-0.094000,0.007549
6.580112,-1.377500,-0.939100,-0.009000,-0.094000,0.007549
6.680092,-1.377500,-0.939100,-0.009000,-0.094000,0.007549
6.779964,-1.377500,-0.939100,-0.009000,-0.094000,0.007549
