timestamp,displacement_m,velocity_ms,acceleration_ms2
2.425475,0.000000,0.000000,0.000000
2.525402,0.000000,0.000000,0.000000
2.625382,0.000000,0.000000,0.000000
2.725320,0.000000,0.000000,0.000000
2.825485,0.000000,0.000000,0.000000
2.926134,0.000000,0.000000,0.000000
3.025926,0.000000,0.000000,0.000000
3.125468,0.000000,0.000000,0.000000
3.225375,0.000000,0.000000,0.000000
3.325331,0.000000,0.000000,0.000000
3.425700,0.000000,0.000000,0.000000
3.525409,0.000000,0.000000,0.000000
3.625542,0.000000,0.000000,0.000000
3.725413,0.000000,0.000000,0.000000
3.825436,0.000000,0.000000,0.000000
3.925586,0.000000,0.000000,0.000000
4.025460,0.000000,0.000000,0.000000
4.127013,0.000000,0.000000,0.000000
4.225496,0.000000,0.000000,0.000000
4.325362,0.000000,0.000000,0.000000
4.425385,0.000000,0.000000,0.000000
4.525608,0.000000,0.000000,0.000000
4.625560,0.000000,0.000000,0.000000
4.725518,0.000000,0.000000,0.000000
4.825378,0.000000,0.000000,0.000000
4.925415,0.000000,0.000000,0.000000
5.025605,0.000000,0.000000,0.000000
5.125479,0.000000,0.000000,0.000000
5.225399,0.000000,0.000000,0.000000
5.325525,0.000000,0.000000,0.000000
5.425410,0.000000,0.000000,0.000000
5.525682,0.000000,0.000000,0.000000
5.625482,0.000000,0.000000,0.000000
5.725381,0.000000,0.000000,0.000000
5.825421,0.000000,0.000000,0.000000
5.925438,0.000000,0.000000,0.000000
6.025562,0.000000,0.000000,0.000000
6.125332,0.000000,0.000000,0.000000
6.225485,0.000000,0.000000,0.000000
6.325384,0.000000,0.000000,0.000000
6.425388,0.000000,0.000000,0.000000
6.525418,0.000000,0.000000,0.000000
6.625373,0.000000,0.000000,0.000000
6.726015,0.000000,0.000000,0.000000
6.825356,0.000000,0.000000,0.000000
6.925339,0.000000,0.000000,0.000000
7.025606,0.000000,0.000000,0.000000
7.125373,0.000000,0.000000,0.000000
7.225363,0.000000,0.000000,0.000000
7.325431,0.000000,0.000000,0.000000
7.425330,0.000000,0.000000,0.000000
7.525354,0.000000,0.000000,0.000000
7.625382,0.000000,0.000000,0.000000
7.725347,0.000000,0.000000,0.000000
7.825356,0.000000,0.000000,0.000000
7.925368,0.000000,0.000000,0.000000
8.025359,0.000000,0.000000,0.000000
8.125924,0.000000,0.000000,0.000000
8.225359,0.000000,0.000000,0.000000
8.325360,0.000000,0.000000,0.000000
8.425143,0.000000,0.000000,0.000000
8.525382,0.000000,0.000000,0.000000
8.625344,0.000000,0.000000,0.000000
8.725349,0.000000,0.000000,0.000000
8.825363,0.000000,0.000000,0.000000
8.925387,0.000000,0.000000,0.000000
9.025391,0.000000,0.000000,0.000000
9.125475,0.000000,0.000000,0.000000
9.225375,0.000000,0.000000,0.000000
9.325341,0.000000,0.000000,0.000000
9.425354,0.000000,0.000000,0.000000
9.525358,0.000000,0.000000,0.000000
9.625366,0.000000,0.000000,0.000000
9.726461,0.000000,0.000000,0.000000
9.825373,0.000000,0.000000,0.000000
9.925363,0.000000,0.000000,0.000000
10.025347,0.000000,0.000000,0.000000
10.125425,0.000000,0.000000,0.000000
10.225351,0.000000,0.000000,0.000000
10.325342,0.000000,0.000000,0.000000
10.427069,0.000000,0.000000,-1.090044
10.525362,0.000000,-0.218031,-1.106317
10.625187,-0.043196,-0.219181,1.053061
10.725670,-0.043904,-0.007094,1.059462
10.825320,-0.044616,-0.007148,-0.000396
10.925337,-0.045331,-0.007173,-0.000312
11.025330,-0.046050,-0.007210,-0.000371
11.125347,-0.046773,-0.007247,-0.000373
11.225347,-0.047500,-0.007285,-0.000372
11.325347,-0.048230,-0.007322,-0.000365
11.425357,-0.048964,-0.007358,-0.000375
11.525376,-0.049702,-0.007397,-0.000375
11.625340,-0.050443,-0.007433,-0.000356
11.725374,-0.051189,-0.007468,-0.000365
11.825394,-0.051937,-0.007506,-0.000379
11.925390,-0.052690,-0.007544,0.018642
12.025386,-0.053446,-0.003778,0.037688
12.125554,-0.053446,0.000000,0.018887
12.225402,-0.053446,0.000000,0.000000
12.325555,-0.053446,0.000000,0.000000
12.425735,-0.053446,0.000000,0.000000
12.525498,-0.053446,0.000000,0.000000
12.625548,-0.053446,0.000000,0.000000
12.725915,-0.053446,0.000000,0.000000
12.826010,-0.053446,0.000000,0.000000
12.925593,-0.053446,0.000000,0.000000
13.025384,-0.053446,0.000000,0.000000
13.125380,-0.053446,0.000000,0.000000
13.225422,-0.053446,0.000000,0.000000
13.325358,-0.053446,0.000000,0.000000
13.425351,-0.053446,0.000000,0.000000
13.525400,-0.053446,0.000000,0.000000
13.625375,-0.053446,0.000000,0.000000
13.725406,-0.053446,0.000000,0.000000
13.825292,-0.053446,0.000000,0.000000
13.926053,-0.053446,0.000000,0.000000
14.025314,-0.053446,0.000000,0.000000
14.125481,-0.053446,0.000000,0.539695
14.225308,-0.053446,0.107936,0.554299
14.325330,-0.031875,0.110776,-0.508169
14.425617,-0.031257,0.006145,-0.523519
14.525338,-0.030646,0.006068,-0.000819
14.625475,-0.030044,0.005981,-0.000824
14.725377,-0.029450,0.005903,-0.000794
14.825393,-0.028864,0.005823,-0.003217
14.925264,-0.028286,0.005260,-0.003240
15.025284,-0.027812,0.005175,0.001565
15.125278,-0.027251,0.005573,0.002256
15.225272,-0.026698,0.005626,-0.000148
15.325320,-0.026125,0.005544,-0.001506
15.425277,-0.025589,0.005325,-0.001507
15.525303,-0.025060,0.005242,-0.003249
15.625263,-0.024540,0.004675,-0.003251
15.725390,-0.024125,0.004592,0.001602
15.825369,-0.023621,0.004996,0.001535
15.925316,-0.023126,0.004899,-0.000871
16.025875,-0.022639,0.004821,-0.000702
16.125618,-0.022161,0.004758,-0.003190
16.225346,-0.021690,0.004185,-0.002707
16.325308,-0.021325,0.004218,0.002154
16.425367,-0.020847,0.004616,0.000963
16.525399,-0.020401,0.004410,-0.001440
16.625361,-0.019964,0.004328,-0.000832
