timestamp,distance_to_obstacle_m
0.425451,0.6960
0.525568,0.6960
0.625386,0.2810
0.725410,1.1180
0.825389,0.3040
0.926003,0.3040
1.025461,0.3250
1.125404,nan
1.225587,1.1180
1.325492,1.1160
1.425657,0.3290
1.525680,0.3290
1.625607,0.5380
1.725460,0.4780
1.825523,1.1040
1.925426,0.7200
2.025278,0.2950
2.125325,0.2950
2.225406,1.1140
2.325372,1.1120
2.425475,1.1180
2.525402,1.1180
2.625382,1.1040
2.725320,0.5560
2.825485,0.4030
2.926134,0.4030
3.025926,0.3680
3.125468,0.3680
3.225375,0.3680
3.325331,0.3680
3.425700,0.8020
3.525409,0.8020
3.625542,0.2840
3.725413,1.1120
3.825436,1.1180
3.925586,0.2930
4.025460,0.2930
4.127013,1.1060
4.225496,1.3000
4.325362,0.9900
4.425385,0.7520
4.525608,1.1140
4.625560,1.1140
4.725518,1.1020
4.825378,0.5620
4.925415,0.9800
5.025605,0.3960
5.125479,0.3960
5.225399,1.1140
5.325525,0.3030
5.425410,0.3850
5.525682,0.3850
5.625482,0.2830
5.725381,1.1180
5.825421,0.4360
5.925438,1.1140
6.025562,1.1140
6.125332,0.3140
6.225485,1.3900
6.325384,0.2930
6.425388,0.2930
6.525418,0.3690
6.625373,1.3200
6.726015,1.1600
6.825356,0.3950
6.925339,nan
7.025606,1.0980
7.125373,1.0980
7.225363,0.5020
7.325431,1.1200
7.425330,1.1200
7.525354,1.1200
7.625382,0.4680
7.725347,1.1120
7.825356,0.6740
7.925368,0.3240
8.025359,0.3240
8.125924,0.4470
8.225359,0.2810
8.325360,1.1100
8.425143,0.2830
8.525382,0.2830
8.625344,1.1000
8.725349,0.9340
8.825363,1.1000
8.925387,1.1000
9.025391,1.1000
9.125475,1.1000
9.225375,1.1080
9.325341,1.1020
9.425354,0.7280
9.525358,0.7280
9.625366,0.6800
9.726461,0.6800
9.825373,1.1100
9.925363,nan
10.025347,1.1060
10.125425,1.1180
10.225351,1.1080
10.325342,1.1080
10.427069,1.1080
10.525362,1.1080
10.625187,0.5120
10.725670,0.5120
10.825320,0.7140
10.925337,0.7140
11.025330,1.1040
11.125347,0.5600
11.225347,1.1060
11.325347,0.2810
11.425357,0.2840
11.525376,0.2840
11.625340,1.1000
11.725374,0.4550
11.825394,0.4550
11.925390,0.4550
12.025386,0.2800
12.125554,0.7400
12.225402,0.7400
12.325555,0.5660
12.425735,0.5660
12.525498,0.3620
12.625548,0.8020
12.725915,0.7660
12.826010,0.7660
12.925593,0.7660
13.025384,0.5540
13.125380,0.4700
13.225422,1.1160
13.325358,0.6840
13.425351,0.6840
13.525400,0.4950
13.625375,1.1000
13.725406,1.0880
13.825292,0.9120
13.926053,0.9120
14.025314,1.1020
14.125481,0.6960
14.225308,0.3240
14.325330,0.3240
14.425617,1.1200
14.525338,1.4880
14.625475,0.3520
14.725377,0.6940
14.825393,1.1120
14.925264,0.4720
15.025284,0.4720
15.125278,0.9040
15.225272,1.4860
15.325320,0.4950
15.425277,0.4950
15.525303,1.1000
15.625263,0.4120
15.725390,0.9200
15.825369,0.9200
15.925316,0.3070
16.025875,0.5640
16.125618,1.1140
16.225346,0.3790
16.325308,1.1120
16.425367,1.1120
16.525399,0.7960
16.625361,1.1000
16.725369,0.6780
16.825339,0.4880
16.925206,0.9200
17.025332,0.9200
17.125911,1.1100
17.225640,0.4360
17.325688,0.3570
17.425367,0.3570
17.525641,1.1160
17.625487,0.9380
17.725491,1.1160
17.825317,1.1180
17.925541,1.1180
18.025366,1.1040
18.125479,1.1160
18.225465,0.3200
18.325993,1.1040
18.425313,0.6920
18.525487,0.6920
18.625410,0.6920
18.725436,0.6920
18.825353,1.4420
18.925390,1.4420
19.025364,0.7900
19.125380,1.1020
19.225358,0.6800
19.325382,0.3890
19.425379,0.3890
19.525393,1.0180
19.625378,0.3080
19.725341,0.2990
19.825402,1.1180
19.925409,1.1180
20.025360,0.5640
20.125304,0.3950
20.225398,0.3950
20.326569,0.4700
20.425346,0.4700
20.525339,1.1000
20.625427,1.1140
20.725353,1.1100
20.825365,1.1100
20.925398,1.1080
21.025370,1.1060
21.125405,1.1140
21.225399,0.3950
21.325460,1.0860
21.425437,1.0860
21.525417,1.0940
21.625636,0.3700
21.726323,0.5520
21.825847,1.1020
21.925404,1.1020
22.025735,1.1080
22.125534,1.1160
22.225373,1.1000
22.325840,0.2970
22.425772,0.2970
22.525453,0.3310
22.625508,0.2960
22.725462,1.1200
22.825398,0.7500
22.925411,0.7500
23.025369,0.4340
23.125607,1.1020
23.225409,1.1020
23.325283,1.1020
23.425926,1.1020
23.525354,0.8140
23.625340,1.1060
23.725356,0.4070
23.825450,1.1140
23.925413,1.1140
24.025487,0.3170
24.125475,0.3120
24.225423,0.6820
24.325480,0.6820
24.425390,0.5420
24.525378,0.5660
24.625411,0.9960
24.725367,0.4840
24.825756,0.4840
24.925447,0.4420
25.025464,0.5680
25.125389,0.3510
25.225367,1.0540
25.325361,1.0540
25.425388,1.1020
25.525496,0.7660
25.625355,0.5440
25.725462,1.1000
25.825467,0.3110
25.925398,0.3110
26.025385,0.2950
26.125383,0.6900
26.225372,1.1060
26.325450,0.6780
26.425478,0.6780
26.525413,1.1020
26.625381,0.8660
26.725469,0.3960
26.825382,1.1040
26.925791,1.1040
27.025722,1.1160
27.125258,0.3020
27.225377,nan
27.325908,nan
27.425497,0.3620
27.525355,1.1120
27.625345,1.1140
27.725339,0.5540
27.825524,0.5540
27.925766,1.1020
28.025520,0.8060
28.125423,0.4340
28.225212,0.6800
