timestamp,ttc_value_s,risk_level
22.525453,4.9439,EMERGENCY
22.625508,5.0419,EMERGENCY
22.725462,5.1399,EMERGENCY
22.825398,0.2998,EMERGENCY
22.925411,0.2365,EMERGENCY
23.025369,0.3029,EMERGENCY
23.125607,0.3884,EMERGENCY
23.225409,0.4803,EMERGENCY
23.325283,0.5751,EMERGENCY
23.425926,0.6716,EMERGENCY
23.525354,0.7689,EMERGENCY
23.625340,0.8669,EMERGENCY
23.725356,0.9653,EMERGENCY
23.825450,1.0641,SLOWDOWN
23.925413,1.1630,SLOWDOWN
24.025487,1.2621,SLOWDOWN
24.125475,1.3613,SLOWDOWN
24.225423,1.4607,SLOWDOWN
24.325480,1.5601,SLOWDOWN
24.425390,1.6596,SLOWDOWN
24.525378,1.7592,SLOWDOWN
24.625411,1.8588,SLOWDOWN
24.725367,1.9584,SLOWDOWN
24.825756,2.0581,SLOWDOWN
24.925447,2.1578,SLOWDOWN
25.025464,2.2575,SLOWDOWN
25.125389,2.3573,SLOWDOWN
25.225367,2.4571,SLOWDOWN
25.325361,2.5569,SLOWDOWN
25.425388,2.6567,SLOWDOWN
25.525496,2.6567,SLOWDOWN
25.625355,2.6567,SLOWDOWN
25.725462,2.6567,SLOWDOWN
25.825467,2.6567,SLOWDOWN
25.925398,2.6567,SLOWDOWN
26.025385,2.6567,SLOWDOWN
26.125383,2.6567,SLOWDOWN
26.225372,2.6567,SLOWDOWN
26.325450,2.6567,SLOWDOWN
26.425478,2.6567,SLOWDOWN
26.525413,2.6567,SLOWDOWN
26.625381,2.6567,SLOWDOWN
26.725469,2.6567,SLOWDOWN
26.825382,2.6567,SLOWDOWN
26.925791,2.6567,SLOWDOWN
27.025722,3.1816,WARNING
27.125258,3.2690,WARNING
27.225377,3.3571,WARNING
27.325908,3.4460,WARNING
27.425497,3.5356,WARNING
27.525355,3.5356,WARNING
27.625345,3.5356,WARNING
27.725339,3.5356,WARNING
27.825524,3.5356,WARNING
27.925766,3.5356,WARNING
28.025520,3.5356,WARNING
28.125423,3.5356,WARNING
28.225212,3.5356,WARNING
28.325274,3.5356,WARNING
28.425274,3.5356,WARNING
28.525254,3.5356,WARNING
28.625259,3.5356,WARNING
28.726975,3.5356,WARNING
28.825258,3.5356,WARNING
28.925280,3.5356,WARNING
29.025409,2.7826,SLOWDOWN
29.125262,2.8384,SLOWDOWN
29.225366,2.8983,SLOWDOWN
29.325352,2.9619,SLOWDOWN
29.425546,3.0287,WARNING
29.525353,3.0983,WARNING
29.625360,3.1702,WARNING
29.725368,3.2444,WARNING
29.825358,3.3204,WARNING
29.925383,3.3982,WARNING
30.025370,3.4775,WARNING
30.125355,3.5582,WARNING
30.225337,3.6401,WARNING
30.325389,3.7232,WARNING
30.425362,3.8073,WARNING
30.525372,3.8073,WARNING
30.625380,3.8073,WARNING
30.725347,3.8073,WARNING
30.825668,3.8073,WARNING
30.925401,3.8073,WARNING
31.025346,3.8073,WARNING
31.125364,3.8073,WARNING
31.225351,3.8073,WARNING
31.325313,3.8073,WARNING
31.425380,3.8073,WARNING
31.525373,3.8073,WARNING
31.625424,3.8073,WARNING
31.725397,3.8073,WARNING
31.825385,3.8073,WARNING
31.925378,3.8073,WARNING
32.025364,3.8073,WARNING
32.125394,3.8073,WARNING
32.225470,3.8073,WARNING
32.326133,0.8073,EMERGENCY
32.425673,0.8073,EMERGENCY
32.525404,0.8073,EMERGENCY
32.625324,0.8073,EMERGENCY
32.725342,0.8073,EMERGENCY
32.825365,0.8073,EMERGENCY
32.925552,0.8073,EMERGENCY
33.025377,0.8073,EMERGENCY
33.125393,0.8073,EMERGENCY
33.225653,0.8073,EMERGENCY
33.325341,0.8073,EMERGENCY
33.425313,0.8073,EMERGENCY
33.525477,0.8073,EMERGENCY
33.625514,0.8073,EMERGENCY
33.725668,0.8073,EMERGENCY
33.826452,0.8073,EMERGENCY
33.925354,0.8073,EMERGENCY
34.025307,0.8073,EMERGENCY
34.125321,2.3870,SLOWDOWN
34.225219,2.4758,SLOWDOWN
34.325283,2.5656,SLOWDOWN
34.425384,2.6563,SLOWDOWN
34.525585,2.7476,SLOWDOWN
34.625367,2.8397,SLOWDOWN
34.725454,2.9323,SLOWDOWN
34.825653,3.0254,WARNING
34.925464,3.0254,WARNING
35.025617,3.0254,WARNING
35.125468,3.0254,WARNING
35.225354,3.0254,WARNING
35.325333,3.0254,WARNING
35.425342,3.0254,WARNING
35.525607,3.0254,WARNING
35.625307,3.0254,WARNING
35.725332,3.0254,WARNING
35.825342,3.0254,WARNING
35.925572,3.0254,WARNING
36.025356,3.0254,WARNING
36.125319,3.0254,WARNING
36.225601,3.0254,WARNING
36.325394,3.0254,WARNING
36.425479,3.0254,WARNING
36.525452,3.0254,WARNING
36.625452,3.0254,WARNING
36.725653,3.0254,WARNING
36.825433,3.0254,WARNING
36.925452,3.0254,WARNING
37.025333,3.0254,WARNING
37.125355,3.0254,WARNING
37.225350,3.0132,WARNING
37.325647,3.0107,WARNING
37.425685,2.8368,SLOWDOWN
37.525359,2.9580,SLOWDOWN
37.625342,3.0576,WARNING
37.725819,3.1572,WARNING
37.825762,3.2568,WARNING
37.925718,3.2184,WARNING
38.025628,3.2184,WARNING
38.125525,3.2170,WARNING
38.225391,3.2081,WARNING
38.325402,3.1834,WARNING
38.425369,3.1791,WARNING
38.525270,0.3582,EMERGENCY
38.625356,0.4270,EMERGENCY
38.725371,0.5059,EMERGENCY
38.825402,0.5926,EMERGENCY
38.925448,0.6836,EMERGENCY
39.025509,0.7769,EMERGENCY
39.125356,0.8719,EMERGENCY
39.226490,0.9680,EMERGENCY
39.325482,1.0648,SLOWDOWN
39.425322,1.1622,SLOWDOWN
39.525381,1.2600,SLOWDOWN
39.625371,1.3581,SLOWDOWN
39.725203,1.4565,SLOWDOWN
39.825377,1.5551,SLOWDOWN
39.925448,1.6539,SLOWDOWN
40.025362,1.7528,SLOWDOWN
40.125331,1.8518,SLOWDOWN
40.225341,1.9509,SLOWDOWN
40.326170,2.0502,SLOWDOWN
40.425521,2.1494,SLOWDOWN
40.525387,2.2488,SLOWDOWN
40.625447,2.3482,SLOWDOWN
40.725479,2.4477,SLOWDOWN
40.825581,2.5472,SLOWDOWN
40.925809,2.6467,SLOWDOWN
41.025396,2.7463,SLOWDOWN
41.125377,2.8459,SLOWDOWN
41.225376,2.9455,SLOWDOWN
41.325357,3.0452,WARNING
41.425501,3.1448,WARNING
41.525353,3.2445,WARNING
41.625345,3.3443,WARNING
41.725289,3.4440,WARNING
41.825349,3.5437,WARNING
41.925393,3.6435,WARNING
42.025440,3.7433,WARNING
42.125402,3.8430,WARNING
42.225467,3.9428,WARNING
42.325426,3.8460,WARNING
42.425366,4.1425,WARNING
42.525352,4.2423,WARNING
42.625393,4.3421,WARNING
42.725615,4.4420,WARNING
42.825473,4.5418,WARNING
42.925429,4.6417,WARNING
43.025846,4.6722,WARNING
43.125397,4.7557,WARNING
43.225342,4.8538,WARNING
43.325423,4.9518,WARNING
43.425404,5.0499,SAFE
43.525377,5.1480,SAFE
43.626561,5.2461,SAFE
43.725214,5.3442,SAFE
43.825389,5.4422,SAFE
43.925423,5.5403,SAFE
44.026141,5.6384,SAFE
44.126053,5.7365,SAFE
44.225348,5.8346,SAFE
44.325336,5.9327,SAFE
44.425344,6.0308,SAFE
44.525342,6.1290,SAFE
44.625355,6.2271,SAFE
44.725371,6.3252,SAFE
44.825360,6.4233,SAFE
44.925396,6.5214,SAFE
45.025402,6.6195,SAFE
45.125373,6.7177,SAFE
45.225377,6.8158,SAFE
45.325352,6.9139,SAFE
45.425298,7.0120,SAFE
45.525286,7.1102,SAFE
45.625309,7.2083,SAFE
45.725291,7.3064,SAFE
45.825439,7.4046,SAFE
45.925323,7.5027,SAFE
46.025376,7.6009,SAFE
46.125483,7.6990,SAFE
46.225446,7.7971,SAFE
46.325391,7.8953,SAFE
46.425334,7.9934,SAFE
46.525328,8.0916,SAFE
46.625365,8.1897,SAFE
46.725343,8.2879,SAFE
46.825309,8.3860,SAFE
46.925387,8.4841,SAFE
47.025401,8.5823,SAFE
47.125419,7.7880,SAFE
47.225270,6.5494,SAFE
47.325400,5.7306,SAFE
47.425379,5.1593,SAFE
47.525301,4.3526,WARNING
47.625415,4.1659,WARNING
47.725375,4.0249,WARNING
47.825377,3.9196,WARNING
47.925783,3.8426,WARNING
48.025599,3.7885,WARNING
48.125410,3.7530,WARNING
48.225354,3.7330,WARNING
48.325421,3.7259,WARNING
48.425408,3.7298,WARNING
48.525346,3.7431,WARNING
48.625568,3.7645,WARNING
48.725380,3.7928,WARNING
48.825803,3.8272,WARNING
48.925363,3.8670,WARNING
49.025387,3.9115,WARNING
49.125379,3.9602,WARNING
49.226369,4.0126,WARNING
49.325421,4.0684,WARNING
49.425336,4.1271,WARNING
49.525303,4.1886,WARNING
49.625350,4.2525,WARNING
49.725347,4.3186,WARNING
49.825366,4.3868,WARNING
49.925363,4.4568,WARNING
50.025337,4.5284,WARNING
50.125355,4.6017,WARNING
50.225380,4.6763,WARNING
50.325356,4.7523,WARNING
50.425344,4.8295,WARNING
50.525323,4.9078,WARNING
50.625414,4.9872,WARNING
50.725368,5.0675,SAFE
50.825374,5.1488,SAFE
50.925367,5.2309,SAFE
51.025706,5.3137,SAFE
51.125352,5.3973,SAFE
51.225325,5.3973,SAFE
51.325353,5.3973,SAFE
51.425344,5.3973,SAFE
51.525335,5.3973,SAFE
51.625217,5.3973,SAFE
51.725295,5.3973,SAFE
51.825348,5.3973,SAFE
51.925326,5.3973,SAFE
52.025321,5.3973,SAFE
52.125317,5.3973,SAFE
52.225324,5.3973,SAFE
52.325317,5.3973,SAFE
52.425321,5.3973,SAFE
52.525296,5.3973,SAFE
52.625304,5.3973,SAFE
52.725321,5.3973,SAFE
52.825321,5.3973,SAFE
52.925337,5.3973,SAFE
53.025351,5.3973,SAFE
53.125468,5.3973,SAFE
53.225469,5.3973,SAFE
53.325541,5.3973,SAFE
53.425516,5.3973,SAFE
53.525423,5.3973,SAFE
53.625619,5.3973,SAFE
53.725217,7.6247,SAFE
53.825936,7.6451,SAFE
53.925355,7.6692,SAFE
54.025313,7.6966,SAFE
54.125360,7.7272,SAFE
54.225333,7.7607,SAFE
54.325312,7.7970,SAFE
54.425298,7.8359,SAFE
54.525304,7.8773,SAFE
54.625284,7.9209,SAFE
54.725405,7.9667,SAFE
54.825337,8.0146,SAFE
54.925317,8.0644,SAFE
55.025440,8.1160,SAFE
55.125354,8.1693,SAFE
55.225346,8.2243,SAFE
55.325365,8.2808,SAFE
55.425330,8.3388,SAFE
55.525337,8.3982,SAFE
55.625371,8.4590,SAFE
55.725365,8.5210,SAFE
55.825355,8.5842,SAFE
55.925287,8.6485,SAFE
56.025320,8.7140,SAFE
56.125307,8.7805,SAFE
56.225368,8.8480,SAFE
56.325341,8.9164,SAFE
56.425357,8.9858,SAFE
56.525335,9.0560,SAFE
56.625358,9.1271,SAFE
56.725357,9.1990,SAFE
56.825332,9.2716,SAFE
56.925395,9.3450,SAFE
57.025339,9.4191,SAFE
57.125401,9.4939,SAFE
57.225380,9.5693,SAFE
57.325386,9.6454,SAFE
57.425301,9.7221,SAFE
57.525324,9.7993,SAFE
57.625371,9.8771,SAFE
57.725560,9.9555,SAFE
57.825520,10.0344,SAFE
57.925584,10.1138,SAFE
58.025490,10.1936,SAFE
58.125364,10.2740,SAFE
58.225500,10.3547,SAFE
58.325390,10.4360,SAFE
58.425377,10.5176,SAFE
58.525571,10.5997,SAFE
58.625302,10.6821,SAFE
58.725366,10.7649,SAFE
58.825411,10.8481,SAFE
58.925390,10.9317,SAFE
59.025332,11.0156,SAFE
59.125679,11.0998,SAFE
59.225313,11.1844,SAFE
59.325338,11.2693,SAFE
59.425257,11.3545,SAFE
59.525264,11.4399,SAFE
59.625256,11.5257,SAFE
59.725282,11.6117,SAFE
59.825310,11.6981,SAFE
59.925313,11.7846,SAFE
60.025217,11.8715,SAFE
60.125261,11.9586,SAFE
60.225307,12.0459,SAFE
60.325568,12.1334,SAFE
60.425351,12.2212,SAFE
60.525844,12.3092,SAFE
60.625289,12.3975,SAFE
60.725514,12.4859,SAFE
60.825378,12.5745,SAFE
60.925571,12.6634,SAFE
61.025337,12.7524,SAFE
61.125410,12.8416,SAFE
61.225350,12.9310,SAFE
61.325439,13.0206,SAFE
61.425632,13.1104,SAFE
61.525820,13.2003,SAFE
61.625380,13.2904,SAFE
61.725330,13.3807,SAFE
61.825495,13.4711,SAFE
61.925406,13.5617,SAFE
62.025331,13.6524,SAFE
62.125201,13.7433,SAFE
62.225363,13.8343,SAFE
62.325386,13.9254,SAFE
62.425324,14.0167,SAFE
62.525497,14.1082,SAFE
62.625639,14.1997,SAFE
62.725423,14.2914,SAFE
62.825312,14.2914,SAFE
62.925420,14.2914,SAFE
63.025350,14.2914,SAFE
63.125376,14.2914,SAFE
63.225400,14.2914,SAFE
63.325443,14.2914,SAFE
63.425354,5.1033,SAFE
63.525313,4.4371,WARNING
63.625267,4.4371,WARNING
63.725323,4.4371,WARNING
63.825329,4.4371,WARNING
63.925249,1.1831,SLOWDOWN
64.025508,0.9284,EMERGENCY
64.125713,0.8593,EMERGENCY
64.225376,0.8604,EMERGENCY
64.325356,0.8954,EMERGENCY
64.425400,0.9495,EMERGENCY
64.525435,1.0153,SLOWDOWN
64.625455,1.0889,SLOWDOWN
64.725485,1.1679,SLOWDOWN
64.825368,1.2507,SLOWDOWN
64.925385,1.3365,SLOWDOWN
65.025387,1.4244,SLOWDOWN
65.125357,1.5141,SLOWDOWN
65.225482,1.6052,SLOWDOWN
65.325520,1.6975,SLOWDOWN
65.425544,1.7906,SLOWDOWN
65.525367,1.8845,SLOWDOWN
65.626483,1.9791,SLOWDOWN
65.725374,1.9791,SLOWDOWN
65.825382,1.9791,SLOWDOWN
65.925486,1.9791,SLOWDOWN
66.025293,2.1698,SLOWDOWN
66.125681,2.2658,SLOWDOWN
66.225349,2.0623,SLOWDOWN
66.325397,1.6804,SLOWDOWN
66.425404,1.5029,SLOWDOWN
66.525355,1.4225,SLOWDOWN
66.625346,1.3958,SLOWDOWN
66.725412,1.4020,SLOWDOWN
66.825311,1.4296,SLOWDOWN
66.925328,1.4722,SLOWDOWN
67.025366,1.5255,SLOWDOWN
67.125354,1.5868,SLOWDOWN
67.225368,1.6541,SLOWDOWN
