timestamp,displacement_m,velocity_ms,acceleration_ms2
0.775296,0.000000,0.000000,0.000000
0.875517,0.000000,0.000000,0.000000
0.975384,0.000000,0.000000,0.000000
1.075248,0.000000,0.000000,0.000000
1.175261,0.000000,0.000000,0.000000
1.275227,0.000000,0.000000,0.000000
1.375271,0.000000,0.000000,0.000000
1.475273,0.000000,0.000000,0.000000
1.575767,0.000000,0.000000,0.000000
1.675082,0.000000,0.000000,0.000000
1.775062,0.000000,0.000000,0.000000
1.874882,0.000000,0.000000,0.000000
1.974859,0.000000,0.000000,0.000000
2.074977,0.000000,0.000000,0.000000
2.176414,0.000000,0.000000,-0.025117
2.275232,0.000000,-0.005030,-0.025108
2.375225,-0.001000,-0.004992,0.025108
2.475566,-0.001000,0.000000,0.024726
2.577105,-0.001000,0.000000,0.025346
2.675011,-0.001000,0.005055,0.025276
2.774924,0.000000,0.005000,-0.025276
2.875008,0.000000,0.000000,-0.024990
2.975007,0.000000,0.000000,0.000000
3.074975,0.000000,0.000000,-0.024987
3.175025,0.000000,-0.004998,-0.049988
3.275060,-0.001000,-0.010002,-0.000022
3.374990,-0.002000,-0.005002,0.050031
3.474972,-0.002000,0.000000,0.025014
3.574964,-0.002000,0.000000,0.000000
3.675002,-0.002000,0.000000,0.000000
3.785434,-0.002000,0.000000,0.052734
3.875034,-0.002000,0.010549,0.052568
3.975034,0.000000,0.009967,-0.052568
4.075699,0.000000,0.000000,-0.049802
4.175163,0.000000,0.000000,0.000000
4.275004,0.000000,0.000000,0.000000
4.376490,0.000000,0.000000,0.000000
4.475021,0.000000,0.000000,0.000000
4.575035,0.000000,0.000000,0.000000
4.675110,0.000000,0.000000,0.000000
4.775001,0.000000,0.000000,0.000000
4.875022,0.000000,0.000000,0.000000
4.975018,0.000000,0.000000,0.000000
5.075029,0.000000,0.000000,0.000000
5.175029,0.000000,0.000000,0.000000
5.274980,0.000000,0.000000,0.000000
5.375055,0.000000,0.000000,0.000000
5.475005,0.000000,0.000000,0.000000
5.575040,0.000000,0.000000,0.000000
5.675016,0.000000,0.000000,0.000000
5.775302,0.000000,0.000000,-0.050052
5.875059,0.000000,-0.010013,-0.050062
5.975051,-0.002000,-0.010000,0.100059
6.075063,-0.002000,0.010000,0.100005
6.175058,0.000000,0.010002,-0.050008
