timestamp,distance_to_obstacle_m
0.775296,0.2810
0.875517,0.2810
0.975384,0.2810
1.075248,0.2810
1.175261,0.2910
1.275227,0.2910
1.375271,0.2910
1.475273,0.2910
1.575767,0.2810
1.675082,0.2810
1.775062,0.2810
1.874882,0.2810
1.974859,0.3310
2.074977,0.2820
2.176414,0.4320
2.275232,0.4320
2.375225,0.4320
2.475566,0.4320
2.577105,0.3040
2.675011,0.2810
2.774924,0.2810
2.875008,0.2810
2.975007,0.7340
3.074975,0.2810
3.175025,0.2850
3.275060,0.2810
3.374990,0.2810
3.474972,0.2810
3.574964,0.3420
3.675002,0.2810
3.785434,0.2870
3.875034,0.2870
3.975034,nan
4.075699,0.2810
4.175163,0.2810
4.275004,0.2810
4.376490,0.2810
4.475021,0.2860
4.575035,0.2860
4.675110,0.2830
4.775001,0.3140
4.875022,0.3140
4.975018,0.2810
5.075029,0.2870
5.175029,0.2810
5.274980,0.3020
5.375055,0.3020
5.475005,0.2810
5.575040,0.2810
5.675016,0.2840
5.775302,0.2810
5.875059,0.2810
5.975051,0.2810
6.075063,0.2810
6.175058,0.2810
6.275025,0.3560
6.375032,0.3560
6.475057,nan
6.575023,0.2810
6.675032,0.2810
6.774966,0.2870
6.875032,0.2870
6.975024,0.2830
7.075062,0.5020
7.175040,0.2810
7.275038,0.2810
7.375060,0.2810
7.475013,0.2870
7.574956,0.5580
7.674973,0.2810
7.776557,0.2920
7.874962,0.2920
7.974978,0.2810
8.074959,0.2840
8.174975,0.3780
8.274966,0.3780
8.375036,0.3030
8.475040,0.3030
8.574934,0.2810
8.675336,1.1300
8.775021,1.1300
8.877201,0.2840
8.975013,0.2810
9.074980,0.2920
9.175096,0.2800
9.275069,0.5920
9.375083,0.5920
9.475016,0.2810
9.575012,0.2810
9.674985,0.7420
9.775023,0.7420
9.875009,0.2910
9.974979,0.2810
10.075052,0.2850
10.175051,0.2850
10.274995,0.2810
10.374994,0.4640
10.475002,0.2800
10.575007,0.2830
10.675037,0.2830
10.775041,0.5560
10.875054,0.6460
10.975031,nan
11.074985,0.6100
11.174988,0.2980
11.275030,0.2980
11.375031,0.3950
11.475087,0.2810
11.575017,0.3490
11.675006,0.3490
11.775018,0.2820
11.875242,1.4460
11.974951,0.3280
12.075001,0.2810
12.175009,0.2830
12.275028,0.2830
12.375003,0.2800
12.475022,0.2810
12.574998,0.2810
12.675020,0.2810
12.774978,0.2810
12.875180,0.2870
12.975020,0.2820
13.075017,0.2810
13.174962,0.2890
13.275005,0.2890
13.374991,0.2810
13.475036,0.2810
13.575022,0.3600
13.674978,0.2800
13.775040,0.2800
13.875030,0.2810
13.975031,0.2810
14.075078,0.6060
14.175034,0.2820
14.275035,0.2820
14.375007,0.2810
14.475004,0.2810
14.575003,nan
14.675051,0.2860
14.775067,0.2860
14.874970,0.2810
14.974966,0.2810
15.075058,0.2810
15.174997,0.2810
15.274961,0.2810
15.374960,0.2920
15.474978,0.2840
15.574979,0.2880
15.675035,0.2880
15.775019,0.3510
15.874991,0.2810
15.974993,0.2990
16.075021,0.4380
16.175127,0.4380
16.275029,0.2890
16.374978,0.2810
16.475008,nan
16.575001,nan
16.675019,0.2810
16.775057,0.3130
16.874985,0.4630
16.975019,0.2840
17.074981,0.2810
17.174978,0.2810
17.274955,0.6060
17.374984,0.2810
17.474968,0.2830
17.574964,0.2810
17.674967,0.2810
17.775018,0.2810
17.875023,0.2820
17.974907,0.2820
18.074982,0.2830
18.174972,0.2830
18.274936,0.2830
18.374909,1.5300
18.474981,0.2810
18.574919,0.4220
18.674924,0.4220
18.774990,0.2830
18.874962,0.6260
18.974950,0.5010
19.074979,0.5010
19.174965,0.2810
19.274963,0.2810
19.374988,0.4000
19.475049,0.2860
19.574779,0.2820
19.674961,0.2820
19.774945,0.3010
19.874968,0.6760
19.975176,0.6140
20.074926,0.6140
20.174982,0.5560
20.274955,0.2810
20.374918,0.2810
20.474937,0.2810
20.575003,0.2920
20.674936,0.2920
20.774954,0.2920
20.874911,2.7720
20.974979,0.3420
21.074923,0.3420
21.175148,0.2920
21.274914,0.2900
21.374912,0.2810
21.474906,0.2810
21.574919,0.5560
21.674911,0.5560
21.774940,0.9100
21.875343,nan
21.975351,0.2830
