timestamp,ttc_value_s,risk_level
0.575112,8.7213,SAFE
0.675115,8.7213,SAFE
0.775296,8.8938,SAFE
0.875517,8.9805,SAFE
0.975384,9.0676,SAFE
1.075248,9.1550,SAFE
1.175261,9.1550,SAFE
1.275227,9.1550,SAFE
1.375271,9.1550,SAFE
1.475273,9.1550,SAFE
1.575767,9.1550,SAFE
1.675082,9.1550,SAFE
1.775062,9.1550,SAFE
1.874882,9.1550,SAFE
1.974859,9.1550,SAFE
2.074977,9.1550,SAFE
2.176414,9.1550,SAFE
2.275232,9.1550,SAFE
2.375225,9.1550,SAFE
2.475566,9.1550,SAFE
2.577105,9.1550,SAFE
2.675011,64.4479,EMERGENCY
2.774924,64.5473,EMERGENCY
2.875008,64.6467,EMERGENCY
2.975007,64.7461,EMERGENCY
3.074975,64.8455,EMERGENCY
3.175025,64.9449,EMERGENCY
3.275060,65.0443,EMERGENCY
3.374990,65.1437,EMERGENCY
3.474972,65.2431,EMERGENCY
3.574964,65.3425,EMERGENCY
3.675002,65.4420,EMERGENCY
3.785434,65.5414,EMERGENCY
3.875034,65.6408,EMERGENCY
3.975034,65.7402,EMERGENCY
4.075699,65.8396,EMERGENCY
4.175163,65.8396,EMERGENCY
4.275004,66.0385,EMERGENCY
4.376490,66.1379,EMERGENCY
4.475021,66.2373,EMERGENCY
4.575035,66.3368,EMERGENCY
4.675110,66.3368,EMERGENCY
4.775001,66.5356,EMERGENCY
4.875022,66.6351,EMERGENCY
4.975018,66.7345,EMERGENCY
5.075029,66.8339,EMERGENCY
5.175029,66.9334,EMERGENCY
5.274980,67.0328,EMERGENCY
5.375055,67.1323,EMERGENCY
5.475005,67.2317,EMERGENCY
5.575040,67.3312,EMERGENCY
5.675016,67.4306,EMERGENCY
5.775302,67.5301,EMERGENCY
5.875059,67.6295,EMERGENCY
5.975051,67.7290,EMERGENCY
6.075063,67.8284,EMERGENCY
6.175058,67.8284,EMERGENCY
6.275025,67.8284,EMERGENCY
6.375032,67.8284,EMERGENCY
6.475057,67.8284,EMERGENCY
6.575023,67.8284,EMERGENCY
6.675032,67.8284,EMERGENCY
6.774966,67.8284,EMERGENCY
6.875032,67.8284,EMERGENCY
6.975024,67.8284,EMERGENCY
7.075062,67.8284,EMERGENCY
7.175040,67.8284,EMERGENCY
7.275038,67.8284,EMERGENCY
7.375060,67.8284,EMERGENCY
7.475013,67.8284,EMERGENCY
7.574956,67.8284,EMERGENCY
7.674973,67.8284,EMERGENCY
7.776557,67.8284,EMERGENCY
7.874962,67.8284,EMERGENCY
7.974978,67.8284,EMERGENCY
8.074959,67.8284,EMERGENCY
8.174975,67.8284,EMERGENCY
8.274966,67.8284,EMERGENCY
8.375036,67.8284,EMERGENCY
8.475040,67.8284,EMERGENCY
8.574934,14.3309,SAFE
8.675336,14.4121,SAFE
8.775021,14.4936,SAFE
8.877201,14.5755,SAFE
8.975013,14.6576,SAFE
9.074980,14.7400,SAFE
9.175096,14.8227,SAFE
9.275069,14.9057,SAFE
9.375083,14.9889,SAFE
9.475016,15.0724,SAFE
9.575012,15.1562,SAFE
9.674985,15.2401,SAFE
9.775023,15.3244,SAFE
9.875009,15.4088,SAFE
9.974979,15.4935,SAFE
10.075052,15.5785,SAFE
10.175051,15.6636,SAFE
10.274995,15.7490,SAFE
10.374994,15.8346,SAFE
10.475002,15.9203,SAFE
10.575007,16.0063,SAFE
10.675037,16.0925,SAFE
10.775041,16.1789,SAFE
10.875054,16.2654,SAFE
10.975031,16.3522,SAFE
11.074985,16.4391,SAFE
11.174988,16.5262,SAFE
11.275030,16.6135,SAFE
11.375031,16.7010,SAFE
11.475087,16.7886,SAFE
11.575017,16.8764,SAFE
11.675006,16.9643,SAFE
11.775018,17.0525,SAFE
11.875242,17.1407,SAFE
11.974951,17.2291,SAFE
12.075001,17.3177,SAFE
12.175009,17.4064,SAFE
12.275028,17.4953,SAFE
12.375003,17.5843,SAFE
12.475022,17.5843,SAFE
12.574998,17.7627,SAFE
12.675020,17.8521,SAFE
12.774978,17.9416,SAFE
12.875180,18.0312,SAFE
12.975020,18.1210,SAFE
13.075017,18.2109,SAFE
13.174962,18.3010,SAFE
13.275005,18.3911,SAFE
13.374991,18.4814,SAFE
13.475036,18.5718,SAFE
13.575022,18.6623,SAFE
13.674978,18.7529,SAFE
13.775040,18.8436,SAFE
13.875030,18.9344,SAFE
13.975031,19.0253,SAFE
14.075078,19.1163,SAFE
14.175034,19.2075,SAFE
14.275035,19.2987,SAFE
14.375007,19.3900,SAFE
14.475004,19.4815,SAFE
14.575003,19.5730,SAFE
14.675051,19.6646,SAFE
14.775067,19.7563,SAFE
14.874970,19.8481,SAFE
14.974966,19.9400,SAFE
15.075058,20.0320,SAFE
15.174997,20.1240,SAFE
15.274961,20.2162,SAFE
15.374960,20.3084,SAFE
15.474978,20.4007,SAFE
15.574979,20.4931,SAFE
15.675035,20.5856,SAFE
15.775019,20.6781,SAFE
15.874991,20.7707,SAFE
15.974993,20.8634,SAFE
16.075021,20.9562,SAFE
16.175127,21.0490,SAFE
16.275029,21.1420,SAFE
16.374978,21.2350,SAFE
16.475008,21.3280,SAFE
16.575001,21.4212,SAFE
16.675019,21.5144,SAFE
16.775057,21.6076,SAFE
16.874985,21.6076,SAFE
16.975019,21.6076,SAFE
17.074981,21.6076,SAFE
17.174978,21.6076,SAFE
17.274955,21.6076,SAFE
17.374984,21.6076,SAFE
17.474968,21.6076,SAFE
17.574964,21.6076,SAFE
17.674967,21.6076,SAFE
17.775018,21.6076,SAFE
17.875023,21.6076,SAFE
17.974907,21.6076,SAFE
18.074982,21.6076,SAFE
18.174972,21.6076,SAFE
18.274936,21.6076,SAFE
18.374909,21.6076,SAFE
18.474981,21.6076,SAFE
18.574919,21.6076,SAFE
18.674924,21.6076,SAFE
18.774990,21.6076,SAFE
18.874962,21.6076,SAFE
18.974950,21.6076,SAFE
19.074979,21.6076,SAFE
19.174965,21.6076,SAFE
19.274963,21.6076,SAFE
19.374988,21.6076,SAFE
19.475049,21.6076,SAFE
19.574779,76.4865,SAFE
19.674961,76.6856,SAFE
19.774945,76.7852,SAFE
19.874968,76.8848,SAFE
19.975176,76.9844,SAFE
20.074926,77.0840,SAFE
20.174982,77.1835,SAFE
20.274955,77.2831,SAFE
20.374918,77.3827,SAFE
20.474937,77.4823,SAFE
20.575003,77.5819,SAFE
20.674936,77.6815,SAFE
20.774954,77.7810,SAFE
20.874911,77.7810,SAFE
20.974979,77.7810,SAFE
21.074923,77.7810,SAFE
21.175148,77.7810,SAFE
21.274914,77.7810,SAFE
21.374912,77.7810,SAFE
21.474906,77.7810,SAFE
21.574919,77.7810,SAFE
21.674911,77.7810,SAFE
21.774940,77.7810,SAFE
21.875343,77.7810,SAFE
21.975351,77.7810,SAFE
22.075339,77.7810,SAFE
22.175413,77.7810,SAFE
22.275110,77.7810,SAFE
22.375083,77.7810,SAFE
22.475565,77.7810,SAFE
22.575855,77.7810,SAFE
22.675903,77.7810,SAFE
22.775755,78.0798,SAFE
22.876032,78.1794,SAFE
22.975065,78.2790,SAFE
23.075115,78.3786,SAFE
23.175070,78.4782,SAFE
23.274958,78.5778,SAFE
23.374994,78.6774,SAFE
23.474969,78.7770,SAFE
23.574974,78.8766,SAFE
23.674961,78.9762,SAFE
23.775088,34.1541,SAFE
23.875024,23.8052,SAFE
23.974981,18.3767,SAFE
24.075199,15.0555,SAFE
24.175058,12.8295,SAFE
24.275070,11.2454,SAFE
24.375051,10.0698,SAFE
24.475041,9.1700,SAFE
24.574996,8.4654,SAFE
24.675006,7.9038,SAFE
24.774988,7.4503,SAFE
24.875066,7.0803,SAFE
24.975036,6.7763,SAFE
25.075015,6.5254,SAFE
25.175077,6.3176,SAFE
25.275016,6.1455,SAFE
25.375122,6.0032,SAFE
25.475017,5.8861,SAFE
25.575013,5.7905,SAFE
25.675045,5.7132,SAFE
25.775015,5.6519,SAFE
25.875048,5.6045,SAFE
25.975057,5.5692,SAFE
26.075243,5.5447,SAFE
26.174999,5.5296,SAFE
26.274963,5.5230,SAFE
26.374958,5.5239,SAFE
26.474979,5.5317,SAFE
26.574976,5.5455,SAFE
26.674976,5.5648,SAFE
26.774967,5.5891,SAFE
26.874966,5.6180,SAFE
26.974899,5.6510,SAFE
27.074943,5.6879,SAFE
27.174886,5.7282,SAFE
27.274949,5.7717,SAFE
27.375015,5.8182,SAFE
27.474981,5.8674,SAFE
27.574945,5.9192,SAFE
27.674952,5.9732,SAFE
27.774945,6.0295,SAFE
27.874958,6.0295,SAFE
27.975030,6.0295,SAFE
28.074956,6.0295,SAFE
28.174984,6.0295,SAFE
28.274968,6.0295,SAFE
28.375110,6.0295,SAFE
28.475013,6.0295,SAFE
28.575062,6.0295,SAFE
28.675041,6.0295,SAFE
28.775528,6.0295,SAFE
28.875032,6.0295,SAFE
28.974993,6.0295,SAFE
29.075022,6.0295,SAFE
29.175075,6.0295,SAFE
29.275047,6.0295,SAFE
29.375063,6.0295,SAFE
29.475124,6.0295,SAFE
29.575082,6.0295,SAFE
29.675031,6.0295,SAFE
29.774995,6.0295,SAFE
29.874894,6.0295,SAFE
29.974980,6.0295,SAFE
30.075047,6.0295,SAFE
30.175074,6.0295,SAFE
30.274891,5.6557,SAFE
30.375015,5.7060,SAFE
30.474962,5.7589,SAFE
30.575028,5.8141,SAFE
30.675025,5.8714,SAFE
30.775034,5.9307,SAFE
30.874978,5.9919,SAFE
30.974910,6.0549,SAFE
31.074965,6.1195,SAFE
31.174961,6.1856,SAFE
31.275154,6.2531,SAFE
31.375093,6.3220,SAFE
31.475006,6.3922,SAFE
31.575085,6.4635,SAFE
31.675007,6.5359,SAFE
31.775054,6.6094,SAFE
31.874997,6.6839,SAFE
31.974913,6.7593,SAFE
32.074984,6.8356,SAFE
32.175062,6.9128,SAFE
32.275068,6.9907,SAFE
32.374991,7.0694,SAFE
32.476243,7.1488,SAFE
32.575028,7.2289,SAFE
32.675009,7.3096,SAFE
32.775127,7.3910,SAFE
32.875053,7.4729,SAFE
32.975020,7.5554,SAFE
33.075019,7.6385,SAFE
33.175041,7.7220,SAFE
33.275042,7.8061,SAFE
33.375087,7.8906,SAFE
33.474966,7.9755,SAFE
33.574965,8.0609,SAFE
33.674972,8.1467,SAFE
33.774999,8.2329,SAFE
33.874986,8.3194,SAFE
33.974887,8.4063,SAFE
34.074988,8.4936,SAFE
34.175030,8.5812,SAFE
34.274979,8.6691,SAFE
34.375008,8.7573,SAFE
34.475003,8.8459,SAFE
34.575006,8.9347,SAFE
34.674978,9.0237,SAFE
34.774999,9.1131,SAFE
34.874959,9.2027,SAFE
34.974977,9.2925,SAFE
35.074975,9.3826,SAFE
35.175035,9.4729,SAFE
35.275001,9.5635,SAFE
35.375068,9.6542,SAFE
35.474977,9.7452,SAFE
35.574995,9.8363,SAFE
35.675001,9.8363,SAFE
35.775002,10.0192,SAFE
35.875002,10.1109,SAFE
35.975079,10.2028,SAFE
36.074986,10.2949,SAFE
36.174986,10.3871,SAFE
36.274994,10.4795,SAFE
36.375010,10.5721,SAFE
36.474994,10.6648,SAFE
36.575001,10.7576,SAFE
36.674987,10.7576,SAFE
36.775086,10.7576,SAFE
36.875039,10.7576,SAFE
36.974999,10.7576,SAFE
37.075018,10.7576,SAFE
37.175050,10.7576,SAFE
37.274987,10.7576,SAFE
37.375021,10.7576,SAFE
37.475028,10.7576,SAFE
37.575119,10.7576,SAFE
37.675921,10.7576,SAFE
37.775013,10.4624,EMERGENCY
37.875004,10.5459,EMERGENCY
37.974999,10.6297,EMERGENCY
38.075259,1.5249,EMERGENCY
38.175135,0.3761,EMERGENCY
38.274939,0.3602,EMERGENCY
38.374957,0.4166,EMERGENCY
38.474933,0.4937,EMERGENCY
38.574950,0.5796,EMERGENCY
38.674947,0.6701,EMERGENCY
38.775018,0.7632,EMERGENCY
38.875079,0.8580,EMERGENCY
38.975112,0.9539,EMERGENCY
39.075012,1.0506,SLOWDOWN
39.174973,1.1480,SLOWDOWN
39.275048,1.2457,SLOWDOWN
39.375025,1.3438,SLOWDOWN
39.474998,1.4422,SLOWDOWN
39.574960,1.5407,SLOWDOWN
39.675132,1.6395,SLOWDOWN
39.775120,1.7384,SLOWDOWN
39.875014,1.8374,SLOWDOWN
39.974909,1.9365,SLOWDOWN
40.074914,2.0357,SLOWDOWN
40.174957,2.1350,SLOWDOWN
40.274950,2.2343,SLOWDOWN
40.375008,2.3337,SLOWDOWN
40.474981,2.4332,SLOWDOWN
40.575060,2.5327,SLOWDOWN
40.675040,2.6322,SLOWDOWN
40.774902,2.7318,SLOWDOWN
40.875080,2.8314,SLOWDOWN
40.975069,2.9310,SLOWDOWN
41.076927,3.0307,WARNING
41.174909,3.1303,WARNING
41.275053,3.2300,WARNING
41.374988,3.3297,WARNING
41.474912,3.4295,WARNING
41.574996,3.5292,WARNING
41.675336,3.6290,WARNING
41.775005,3.7287,WARNING
41.875093,3.8285,WARNING
41.974921,3.9283,WARNING
42.074912,4.0281,WARNING
42.174907,5.2538,SAFE
42.274961,5.3783,SAFE
42.374935,5.5028,SAFE
42.474985,5.6273,SAFE
42.575002,5.7518,SAFE
42.675349,5.8763,SAFE
42.775650,6.0009,SAFE
42.875342,6.1254,SAFE
42.974961,6.2500,SAFE
43.075160,6.3745,SAFE
43.175234,6.4991,SAFE
43.275698,6.6237,SAFE
43.375978,6.7482,SAFE
43.475607,6.8728,SAFE
43.575984,6.9974,SAFE
43.676015,7.1220,SAFE
43.775935,7.2466,SAFE
43.874944,7.3712,SAFE
43.974953,7.4958,SAFE
44.075219,7.6205,SAFE
44.175095,7.6205,SAFE
44.275051,7.8697,SAFE
44.375108,7.9943,SAFE
44.475198,8.1190,SAFE
44.575036,8.2436,SAFE
44.675118,8.3683,SAFE
44.775007,8.4929,SAFE
44.875099,8.6176,SAFE
44.975085,8.7422,SAFE
45.075088,8.8669,SAFE
45.175037,8.9915,SAFE
45.274968,9.1162,SAFE
45.374965,9.2408,SAFE
45.474959,9.3655,SAFE
45.575013,9.4902,SAFE
45.675020,9.6149,SAFE
45.775015,9.7395,SAFE
45.875040,9.8642,SAFE
45.975083,9.9889,SAFE
46.075063,10.1136,SAFE
46.175067,10.2382,SAFE
46.274911,10.3629,SAFE
46.375036,10.4876,SAFE
46.474985,10.6123,SAFE
46.575073,10.7370,SAFE
46.675075,10.8617,SAFE
46.775015,10.9864,SAFE
46.875030,11.1110,SAFE
46.975036,11.2357,SAFE
47.075011,11.3604,SAFE
47.175066,11.4851,SAFE
47.276128,11.6098,SAFE
47.375029,11.7345,SAFE
47.475037,11.8592,SAFE
47.575005,11.9839,SAFE
47.675050,12.1086,SAFE
47.775051,12.1086,SAFE
47.875140,12.3580,SAFE
47.975047,12.4827,SAFE
48.074983,12.6074,SAFE
48.175024,12.7322,SAFE
48.274970,12.8569,SAFE
48.374998,12.9816,SAFE
48.475013,13.1063,SAFE
48.575032,13.2310,SAFE
48.676172,13.3557,SAFE
48.775091,13.4804,SAFE
48.875109,13.6051,SAFE
48.975014,13.7298,SAFE
49.075035,13.8546,SAFE
49.175032,13.9793,SAFE
49.275004,14.1040,SAFE
49.375002,14.2287,SAFE
49.475034,14.3534,SAFE
49.575019,14.4781,SAFE
49.674982,14.6029,SAFE
49.775046,14.7276,SAFE
49.875146,14.8523,SAFE
49.975033,14.9770,SAFE
50.075035,15.1017,SAFE
50.175043,15.2265,SAFE
50.275033,15.3512,SAFE
50.375026,15.4759,SAFE
50.475023,15.4759,SAFE
50.575050,15.4759,SAFE
50.675004,15.4759,SAFE
50.775040,15.4759,SAFE
50.875021,15.4759,SAFE
50.975126,15.4759,SAFE
51.075005,15.4759,SAFE
51.174961,15.4759,SAFE
51.274992,15.4759,SAFE
51.374986,15.4759,SAFE
51.474967,15.4759,SAFE
51.575047,15.4759,SAFE
51.675032,15.4759,SAFE
51.775119,15.4759,SAFE
51.875556,15.4759,SAFE
51.974928,11.7874,SAFE
52.075027,11.7874,SAFE
52.175041,11.7874,SAFE
52.275031,11.7874,SAFE
52.375031,11.7874,SAFE
52.475049,11.7874,SAFE
52.574982,11.7874,SAFE
52.675178,11.7874,SAFE
52.775049,11.7874,SAFE
52.875006,11.7874,SAFE
52.975031,11.7874,SAFE
53.075041,11.7874,SAFE
53.174923,11.7874,SAFE
53.275041,11.7874,SAFE
53.375020,11.7874,SAFE
53.475011,11.7874,SAFE
53.575017,11.7874,SAFE
53.674989,11.7874,SAFE
53.774966,11.7874,SAFE
53.875101,11.7874,SAFE
53.975160,11.7874,SAFE
54.075137,11.7874,SAFE
54.174922,11.7874,SAFE
54.275012,11.7874,SAFE
54.374976,11.7874,SAFE
54.474959,11.7874,SAFE
54.574969,11.7874,SAFE
54.675077,11.7874,SAFE
54.775019,11.7874,SAFE
