timestamp,fused_px,fused_py,fused_vx,fused_vy,fusion_variance
0.675115,-433.695400,-277.681400,-1.525000,-0.975000,0.007447
0.775296,-433.848000,-277.778900,-1.525000,-0.975000,0.007447
0.875517,-434.000500,-277.876500,-1.525000,-0.975000,0.007447
0.975384,-434.153100,-277.974000,-1.525000,-0.975000,0.007447
1.075248,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.175261,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.275227,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.375271,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.475273,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.575767,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.675082,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.775062,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.874882,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
1.974859,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
2.074977,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
2.176414,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
2.275232,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
2.375225,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
2.475566,-434.305600,-278.071500,-1.525000,-0.975000,0.007447
2.577105,-434.458100,-278.169100,-1.525000,-0.975000,0.007447
2.675011,-434.915700,-278.461700,-1.525000,-0.975000,0.007447
2.774924,-435.068300,-278.559200,-1.525000,-0.975000,0.007447
2.875008,-435.220800,-278.656700,-1.525000,-0.975000,0.007447
2.975007,-435.373300,-278.754300,-1.525000,-0.975000,0.007447
3.074975,-435.525900,-278.851800,-1.525000,-0.975000,0.007447
3.175025,-435.678400,-278.949300,-1.525000,-0.975000,0.007447
3.275060,-435.831000,-279.046800,-1.525000,-0.975000,0.007447
3.374990,-435.983500,-279.144400,-1.525000,-0.975000,0.007447
3.474972,-436.136000,-279.241900,-1.525000,-0.975000,0.007447
3.574964,-436.288600,-279.339400,-1.525000,-0.975000,0.007447
3.675002,-436.441100,-279.437000,-1.525000,-0.975000,0.007447
3.785434,-436.593600,-279.534500,-1.525000,-0.975000,0.007447
3.875034,-436.746200,-279.632000,-1.525000,-0.975000,0.007447
3.975034,-436.898700,-279.729600,-1.525000,-0.975000,0.007447
4.075699,-437.051200,-279.827100,-1.525000,-0.975000,0.007447
4.175163,-437.203800,-279.924600,-1.525000,-0.975000,0.007447
4.275004,-437.356300,-280.022200,-1.525000,-0.975000,0.007447
4.376490,-437.508900,-280.119700,-1.525000,-0.975000,0.007447
4.475021,-437.661400,-280.217200,-1.525000,-0.975000,0.007447
4.575035,-437.813900,-280.314800,-1.525000,-0.975000,0.007447
4.675110,-437.966500,-280.412300,-1.525000,-0.975000,0.007447
4.775001,-438.119000,-280.509800,-1.525000,-0.975000,0.007447
4.875022,-438.271500,-280.607400,-1.525000,-0.975000,0.007447
