timestamp,distance_to_obstacle_m
0.194017,0.2960
0.294054,0.3200
0.393997,0.3280
0.494343,0.3280
0.594209,0.6680
0.694037,0.2960
0.794049,0.2960
0.894083,0.3050
0.994046,0.3190
1.094015,0.3190
1.194068,0.4930
1.294028,0.2960
1.394042,0.2960
1.494046,0.9260
1.594038,0.9260
1.694029,0.6640
1.793982,0.2960
1.894007,0.2960
1.994040,0.2980
2.093971,0.2980
2.194023,0.2960
2.294080,0.2960
2.394073,0.2960
2.494020,0.5620
2.593936,0.5620
2.694034,0.5880
2.794012,0.2970
2.893949,0.3000
2.994012,0.4520
3.094035,0.4520
3.194077,nan
3.294374,0.2960
3.394031,0.3090
3.493956,0.6620
3.593995,0.6620
3.694040,0.6620
3.794019,0.2960
3.893797,0.7380
3.994050,0.2960
4.094739,0.2960
4.193989,0.2960
4.293833,0.4730
4.394019,0.2960
4.494210,0.2960
4.594076,0.3660
4.694028,0.3660
4.794043,0.2960
4.894036,0.2970
4.994026,0.2960
5.093974,0.2960
5.194394,0.2960
5.294160,0.2960
5.394029,0.2960
5.494020,0.2960
5.594006,0.2980
5.693979,0.2980
5.793988,0.4460
5.894030,0.2960
5.993985,0.3050
6.094069,0.3050
6.194067,0.2960
6.294110,0.3140
6.393980,0.3070
6.493995,0.3720
6.593975,0.3900
6.693986,0.3900
6.794341,0.3410
6.894438,0.2960
6.994356,nan
7.094007,0.8460
7.194819,0.8460
7.294204,0.6860
7.394173,0.2960
7.494907,0.3000
7.595253,0.2970
7.694893,0.2970
7.794903,0.2960
7.894012,0.3080
7.994143,0.2960
8.094035,0.2960
8.194132,0.2960
8.294099,3.4040
8.394291,0.2960
8.494177,1.2680
8.594263,1.2680
8.694038,0.2960
8.794123,0.2960
8.893885,0.2960
8.994006,0.2960
9.094014,0.2970
9.193886,0.2960
9.294308,0.2960
9.394022,0.2970
9.493925,0.4220
9.593973,0.2960
9.695037,0.3090
9.794003,0.3090
9.893988,0.3140
9.993976,0.6880
10.093989,0.6840
10.194039,0.6840
10.293995,0.2960
10.393884,0.3130
10.493982,0.2960
10.594021,0.2960
10.693842,2.8400
10.794045,2.8400
10.893976,0.3030
10.993843,0.2970
11.094015,0.2960
11.193841,0.2960
11.294016,0.2960
11.393879,0.3030
11.494034,0.4560
11.593967,0.2960
11.694013,0.2960
11.793856,0.2960
11.894046,0.2960
11.994071,1.3960
12.094042,1.3960
12.193853,0.4930
12.294007,0.4930
12.393876,0.2960
12.493978,0.2960
12.593980,0.3400
12.694082,0.2960
12.793870,0.2960
12.894053,nan
12.994140,0.2960
13.094035,nan
13.194041,0.2960
13.294093,0.2960
13.394129,0.2960
13.493997,0.3120
13.594015,0.2960
13.694040,0.3670
13.794007,0.3670
13.894025,0.2980
13.994064,0.2970
14.094033,0.2960
14.194078,0.3080
14.293966,0.3080
14.393893,0.2960
14.493999,1.1340
14.594000,0.2960
14.694039,0.2990
14.794068,0.2990
14.894042,0.4030
14.993924,0.3400
15.094020,0.2960
15.193850,0.2960
15.294054,0.2960
15.394119,0.8660
15.494033,0.2970
15.594117,0.3730
15.694022,0.3730
15.794123,0.2970
15.894008,0.3310
15.994020,0.2960
16.094003,0.3090
16.193945,0.2980
16.294033,0.2980
16.394219,0.2970
16.493991,0.3110
16.594097,0.3110
16.693981,0.2850
16.793917,0.2960
16.893971,0.2960
16.994014,0.2960
17.094033,0.2960
17.194073,0.2960
17.294026,1.1640
17.394198,1.1640
17.493990,0.6860
17.593987,0.2970
17.694040,0.2960
17.793963,0.2960
17.893986,0.3610
17.994036,0.2960
18.094035,0.4090
18.194023,0.3050
18.294028,0.7380
18.394045,0.7380
18.493993,0.8320
18.593995,0.2960
18.693966,0.6620
18.794052,0.6620
18.893994,0.3300
18.993975,0.2960
19.094063,0.2960
19.193982,0.3100
19.294052,0.2980
19.394070,0.2980
19.494015,1.5180
19.594033,0.2960
19.693940,0.2960
19.793998,0.2960
19.893991,0.2960
19.993866,0.2960
20.094007,0.2960
20.194003,0.2960
20.293814,0.2960
20.393888,0.2960
20.493895,0.2960
20.593955,0.2960
20.693975,0.3110
20.794018,0.3110
20.893983,0.2960
20.994002,0.3090
21.094041,0.4730
21.194072,0.3000
21.293964,nan
21.394042,nan
21.494035,1.5560
21.594057,0.2990
21.694035,0.3120
21.794028,0.3790
21.894050,0.3790
21.995937,0.7380
22.094420,0.2960
22.194225,0.3200
22.293992,0.3180
22.394021,0.3180
22.494090,0.3070
22.594051,0.6600
22.693948,0.6620
22.794000,0.3040
22.894020,0.3040
22.993991,1.1340
23.093966,0.2960
23.194026,0.2960
23.293959,0.3060
23.393974,0.3060
23.493976,0.6560
23.594016,0.6620
23.694007,0.3060
23.794018,0.2960
23.893952,0.2960
23.993948,0.4450
24.094054,0.3150
24.193997,0.6560
24.293996,0.6560
24.394002,2.1800
24.494007,2.1800
24.594010,0.2960
24.694017,0.3030
24.794066,0.2990
24.894017,0.2960
24.994012,0.2960
25.093859,0.3310
25.194038,0.2960
25.294004,0.2990
25.394148,0.2990
25.493989,0.2990
25.593963,0.5880
25.693987,0.2990
25.794008,0.3300
25.894227,0.3040
25.994047,0.3040
26.093889,0.3770
26.194035,0.2990
26.293974,0.3410
26.393993,0.4560
26.493881,0.4560
26.594067,0.2960
26.693997,0.4520
26.794000,0.2960
26.893881,0.2960
26.993959,0.2960
27.093990,0.2980
27.194035,0.3130
27.294318,0.3020
27.393985,0.2960
27.494069,0.2960
27.594167,0.2990
27.694377,0.2960
27.793965,nan
27.894418,0.5900
27.993834,0.5900
28.094075,0.3110
28.194287,0.2960
28.294473,0.2960
28.394943,0.2960
28.493990,0.4490
28.595116,0.4490
28.694170,0.4490
28.794106,2.8800
28.893980,1.0280
28.994089,1.0280
29.094070,0.2960
29.194073,0.3110
29.293981,0.4440
29.394008,0.3090
29.493863,0.2960
29.593986,0.2960
29.694042,0.2960
29.794084,0.5960
29.893946,0.6900
29.993999,0.6900
30.093966,0.6860
30.193970,0.2960
30.293985,0.3050
30.394008,0.3050
30.493973,0.3030
30.594015,0.3030
30.694012,0.2960
30.794769,0.3100
30.894048,0.3150
30.994027,0.4580
31.094019,0.4580
31.194013,0.3010
31.293895,0.2960
31.394115,0.2960
31.493891,0.2960
31.594086,0.4390
31.694005,0.2960
31.794012,0.6620
31.893955,0.5880
31.993953,0.3020
32.094038,0.3020
32.193980,0.2980
32.293996,0.6680
32.393960,0.6680
32.494000,0.2960
32.593963,0.2960
32.693968,0.2960
32.793954,1.0280
32.894011,0.2970
32.994054,0.3000
33.093851,0.3260
33.194060,0.3260
33.293866,0.2960
33.393996,0.2970
33.494016,0.6560
33.594054,0.6560
33.694015,0.3130
33.794171,0.3180
33.894028,0.3080
33.994050,0.2960
34.094015,0.2960
34.193967,0.2960
34.294007,0.2960
34.394083,0.2960
34.494067,0.2970
34.594062,0.2970
34.693958,0.2960
34.794071,0.2960
34.893914,0.2960
34.994036,0.3950
35.094062,0.4140
35.194044,0.4140
35.293962,0.2960
35.393977,2.8040
35.494030,2.8040
35.594036,0.2960
35.694034,2.7720
35.794022,0.2960
35.894052,0.2990
35.993993,0.2960
36.094020,0.4230
36.194030,0.4230
36.294043,0.4490
36.394066,0.4490
36.494040,2.7360
36.594043,0.4470
36.694027,0.4470
36.793957,0.3010
36.893980,0.2960
36.994008,0.8440
37.093954,0.8440
37.194019,0.6980
37.294011,0.4630
37.394017,0.5560
37.493969,0.4130
37.594018,0.4130
37.694005,0.3150
37.793972,0.3810
37.893844,nan
37.993899,1.6940
38.094120,0.8800
38.194034,0.8800
38.294271,0.2960
