timestamp,ttc_value_s,risk_level
0.194017,1.5019,SLOWDOWN
0.294054,1.5508,SLOWDOWN
0.393997,1.5488,SLOWDOWN
0.494343,1.3155,SLOWDOWN
0.594209,1.2209,SLOWDOWN
0.694037,1.1933,SLOWDOWN
0.794049,1.2033,SLOWDOWN
0.894083,1.2363,SLOWDOWN
0.994046,1.2845,SLOWDOWN
1.094015,1.3433,SLOWDOWN
1.194068,1.4097,SLOWDOWN
1.294028,1.4818,SLOWDOWN
1.394042,1.5583,SLOWDOWN
1.494046,1.6382,SLOWDOWN
1.594038,1.7208,SLOWDOWN
1.694029,1.8056,SLOWDOWN
1.793982,1.8922,SLOWDOWN
1.894007,1.9803,SLOWDOWN
1.994040,2.0696,SLOWDOWN
2.093971,2.1601,SLOWDOWN
2.194023,2.2515,SLOWDOWN
2.294080,2.3436,SLOWDOWN
2.394073,2.4365,SLOWDOWN
2.494020,2.5299,SLOWDOWN
2.593936,2.5299,SLOWDOWN
2.694034,2.5299,SLOWDOWN
2.794012,2.5299,SLOWDOWN
2.893949,2.5299,SLOWDOWN
2.994012,2.5299,SLOWDOWN
3.094035,2.5299,SLOWDOWN
3.194077,2.5299,SLOWDOWN
3.294374,2.5299,SLOWDOWN
3.394031,2.5299,SLOWDOWN
3.493956,2.5299,SLOWDOWN
3.593995,2.5299,SLOWDOWN
3.694040,2.5299,SLOWDOWN
3.794019,2.5299,SLOWDOWN
3.893797,2.5299,SLOWDOWN
3.994050,2.5299,SLOWDOWN
4.094739,2.1520,SLOWDOWN
4.193989,1.8725,SLOWDOWN
4.293833,1.7263,SLOWDOWN
4.394019,1.6536,SLOWDOWN
4.494210,1.6257,SLOWDOWN
4.594076,1.6273,SLOWDOWN
4.694028,1.6492,SLOWDOWN
4.794043,1.6856,SLOWDOWN
4.894036,1.7330,SLOWDOWN
4.994026,1.7886,SLOWDOWN
5.093974,1.8507,SLOWDOWN
5.194394,1.9180,SLOWDOWN
5.294160,1.9894,SLOWDOWN
5.394029,2.0643,SLOWDOWN
5.494020,2.1420,SLOWDOWN
5.594006,2.2221,SLOWDOWN
5.693979,2.3042,SLOWDOWN
5.793988,2.3880,SLOWDOWN
5.894030,2.4734,SLOWDOWN
5.993985,2.5600,SLOWDOWN
6.094069,2.6477,SLOWDOWN
6.194067,2.7365,SLOWDOWN
6.294110,2.8261,SLOWDOWN
6.393980,2.9165,SLOWDOWN
6.493995,3.0076,WARNING
6.593975,3.0993,WARNING
6.693986,3.1915,WARNING
6.794341,3.2843,WARNING
6.894438,3.3775,WARNING
6.994356,3.4712,WARNING
7.094007,3.5652,WARNING
7.194819,3.6596,WARNING
7.294204,3.7543,WARNING
7.394173,3.8492,WARNING
7.494907,3.9445,WARNING
7.595253,4.0399,WARNING
7.694893,4.1357,WARNING
7.794903,4.2316,WARNING
7.894012,4.3277,WARNING
7.994143,4.4240,WARNING
8.094035,4.5205,WARNING
8.194132,4.6171,WARNING
8.294099,4.6171,WARNING
8.394291,4.6171,WARNING
8.494177,4.6171,WARNING
8.594263,4.6171,WARNING
8.694038,4.6171,WARNING
8.794123,4.6171,WARNING
8.893885,4.6171,WARNING
8.994006,4.6171,WARNING
9.094014,4.6171,WARNING
9.193886,2.2082,SLOWDOWN
9.294308,2.3062,SLOWDOWN
9.394022,2.4044,SLOWDOWN
9.493925,2.5027,SLOWDOWN
9.593973,2.6011,SLOWDOWN
9.695037,2.6997,SLOWDOWN
9.794003,2.7984,SLOWDOWN
9.893988,2.8971,SLOWDOWN
9.993976,2.9960,SLOWDOWN
10.093989,3.0949,WARNING
10.194039,3.1939,WARNING
10.293995,3.2929,WARNING
10.393884,3.3920,WARNING
10.493982,3.4912,WARNING
10.594021,3.5904,WARNING
10.693842,3.6896,WARNING
10.794045,3.6896,WARNING
10.893976,3.6896,WARNING
10.993843,3.6896,WARNING
11.094015,3.6896,WARNING
11.193841,3.6896,WARNING
11.294016,3.6896,WARNING
11.393879,3.6896,WARNING
11.494034,3.6896,WARNING
11.593967,3.6896,WARNING
11.694013,3.6896,WARNING
11.793856,3.6896,WARNING
11.894046,3.6896,WARNING
11.994071,3.6896,WARNING
12.094042,3.6896,WARNING
12.193853,3.6896,WARNING
12.294007,3.6896,WARNING
12.393876,3.6896,WARNING
12.493978,3.6896,WARNING
12.593980,3.6896,WARNING
12.694082,3.6896,WARNING
12.793870,6.6808,SAFE
12.894053,6.7727,SAFE
12.994140,6.8650,SAFE
13.094035,6.9574,SAFE
13.194041,7.0501,SAFE
13.294093,6.8809,SAFE
13.394129,6.3318,SAFE
13.493997,5.9084,SAFE
13.594015,5.5776,SAFE
13.694040,5.3167,SAFE
13.794007,5.1100,SAFE
13.894025,4.9461,WARNING
13.994064,4.8167,WARNING
